LAMMPS (3 Nov 2022)
units 		real
atom_style      charge

lattice 	bcc 2.87
Lattice spacing in x,y,z = 2.87 2.87 2.87
region		bulto block -5 5 -5 5 -5 5
create_box      1 bulto
Created orthogonal box = (-14.35 -14.35 -14.35) to (14.35 14.35 14.35)
  2 by 4 by 4 MPI processor grid
create_atoms	1 region bulto
Created 2000 atoms
  using lattice units in orthogonal box = (-14.35 -14.35 -14.35) to (14.35 14.35 14.35)
  create_atoms CPU = 0.001 seconds

mass * 55.845
# Choose potential
pair_style      reax/c NULL checkqeq no
pair_coeff      * * CHOFeAlNiCuSCr_v3.ff Fe
WARNING: Changed valency_val to valency_boc for X (../reaxff_ffield.cpp:296)


#JR: Charge minimization
#fix             qeq all qeq/reax 1 0.0 10.0 1.0e-6 reax/c

neighbor   3.5 bin
neigh_modify    every 2 delay 4 check yes page 100000

velocity        all create 300.0 4928459 rot yes dist gaussian

compute         msd all msd

compute         Stress all stress/atom NULL virial
compute         pe all pe/atom
compute         ke all ke/atom



timestep        1
#fix nve      all nve
fix 		npt all nph iso 0 0 1000
#fix          press  all press/berendsen iso 0 0 1000


thermo          100
thermo_style custom step temp pe ke etotal vol press c_msd[4]
dump  mydump all custom 1000 dump.coordenadas id type q x y z vx vy vz c_pe c_ke c_Stress[1] c_Stress[2] c_Stress[3]

fix 		1 all langevin  300 1500 100 29345 zero yes
run 10000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 4 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 13.5
  ghost atom cutoff = 13.5
  binsize = 6.75, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair reax/c, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/newtoff/ghost
      stencil: full/ghost/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 71.5 | 71.5 | 71.5 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Volume         Press         c_msd[4]   
      2900   658.07316     -200203.24      3921.2206     -196282.02      23007.316      71.670996      0.047157978  
      3000   661.75897     -200148.16      3943.183      -196204.98      23014.019     -115.63088      0.043755484  
      3100   671.84693     -200189.83      4003.2935     -196186.54      23010.032      179.44477      0.041195883  
      3200   675.26883     -199995.84      4023.6834     -195972.16      23011.086      219.58285      0.043185412  
      3300   694.52166     -199981.84      4138.4041     -195843.44      23014.034     -162.3381       0.045105206  
      3400   696.51645     -199944.66      4150.2903     -195794.37      23022.231     -219.5675       0.044409239  
      3500   700.10842     -199692.29      4171.6935     -195520.6       23003.958      1153.7574      0.046052685  
      3600   728.5606      -199753.91      4341.2298     -195412.68      23039.624     -1514.4524      0.043576527  
      3700   740.19545     -199770.03      4410.5577     -195359.47      22998.432      1258.7584      0.043611327  
      3800   740.26669     -199567.7       4410.9822     -195156.71      23038.079     -842.8907       0.045773687  
      3900   744.22664     -199547.43      4434.5781     -195112.85      23015.77       364.08655      0.047279908  
      4000   748.40693     -199593.4       4459.4869     -195133.91      23026.446     -83.102712      0.044962857  
      4100   772.94416     -199399.44      4605.6954     -194793.74      23024.888     -107.33264      0.047922366  
      4200   781.23487     -199289.17      4655.0968     -194634.07      23018.72       450.95771      0.048753214  
      4300   831.90612     -199371.73      4957.0285     -194414.71      23044.273     -534.268        0.048282435  
      4400   833.89708     -199162.88      4968.8919     -194193.99      23009.53       1714.725       0.053783891  
      4500   823.34682     -198904.84      4906.0267     -193998.82      23060.313     -1501.5419      0.051536043  
      4600   866.92517     -199030.38      5165.6944     -193864.69      23025.798      1091.9569      0.051155533  
      4700   845.88881     -198972.61      5040.3463     -193932.26      23037.092     -231.02256      0.05101549   
      4800   855.84095     -198780.24      5099.6475     -193680.59      23043.245     -392.61982      0.05110072   
      4900   854.67783     -198838.34      5092.7169     -193745.62      23021.057      1160.3499      0.052293674  
      5000   846.24195     -198808.36      5042.4505     -193765.91      23050.679     -1269.218       0.05231597   
      5100   866.6178      -198654.11      5163.8629     -193490.25      23031.121      107.97622      0.054550017  
      5200   904.37858     -198515.64      5388.8658     -193126.77      23049.562     -444.38021      0.053400538  
      5300   918.28562     -198413.18      5471.7328     -192941.44      23039.824      842.4423       0.052652485  
      5400   934.15238     -198531.21      5566.277      -192964.93      23051.213     -348.46143      0.054358382  
      5500   971.38567     -198377.55      5788.1368     -192589.41      23047.912      797.20696      0.055297097  
      5600   963.09638     -198143.97      5738.7439     -192405.22      23044.585      1074.1914      0.055967069  
      5700   977.0186      -198107.98      5821.7014     -192286.28      23074.894     -960.4457       0.05287355   
      5800   996.57267     -198067.53      5938.217      -192129.32      23039.533      1231.4241      0.053353302  
      5900   995.52675     -198008.43      5931.9848     -192076.44      23078.834     -1318.3569      0.054380526  
      6000   1022.5733     -197836.9       6093.1453     -191743.75      23063.771     -31.867969      0.058596601  
      6100   1036.3748     -197733.93      6175.3835     -191558.55      23074.7       -519.71417      0.057459001  
      6200   1049.5903     -197658.74      6254.1299     -191404.61      23057.049      1052.2986      0.057812676  
      6300   1035.879      -197652.79      6172.4294     -191480.36      23079.612     -899.23022      0.057961815  
      6400   1054.7174     -197400.92      6284.6806     -191116.24      23070.354     -419.72303      0.060091172  
      6500   1099.0908     -197419.41      6549.0858     -190870.33      23070.994      808.50419      0.060267208  
      6600   1088.7007     -197399.19      6487.1747     -190912.01      23075.585      96.821009      0.062402875  
      6700   1086.4874     -197527.53      6473.9864     -191053.54      23075.531     -289.99966      0.061557962  
      6800   1063.4431     -197342.19      6336.674      -191005.51      23081.226      70.273679      0.060440612  
      6900   1143.5759     -197124.11      6814.1564     -190309.95      23067.109      1294.962       0.061837801  
      7000   1152.453      -197140.83      6867.0517     -190273.78      23079.95      -101.30984      0.061417618  
      7100   1148.2323     -197174.28      6841.9021     -190332.38      23080.427      64.542806      0.062603503  
      7200   1123.1468     -196909.44      6692.4268     -190217.02      23096.193     -1141.4783      0.068411083  
      7300   1149.5956     -196935.23      6850.0254     -190085.2       23080.136      418.91439      0.065883213  
      7400   1201.6263     -196944         7160.0575     -189783.94      23109.986     -227.63818      0.061323468  
      7500   1225.9613     -196620.81      7305.0609     -189315.74      23080.534      620.84887      0.066049995  
      7600   1214.8938     -196472.81      7239.1138     -189233.7       23119.991     -789.61052      0.064673835  
      7700   1259.3805     -196215.62      7504.1939     -188711.42      23095.53       1258.4424      0.068525482  
      7800   1280.2387     -196556.13      7628.4804     -188927.65      23131.746     -1115.6061      0.068175316  
      7900   1202.7068     -196340.49      7166.4958     -189174         23091.282      975.3473       0.067814309  
      8000   1232.0324     -196109.35      7341.2367     -188768.11      23112.314      186.32729      0.068420888  
      8100   1271.7425     -196343.28      7577.8551     -188765.42      23117.583     -70.205157      0.062039566  
      8200   1273.5873     -196253.96      7588.8475     -188665.11      23077.466      1851.0009      0.068691191  
      8300   1280.5415     -195966.69      7630.2849     -188336.4       23174.628     -3189.5901      0.067465001  
      8400   1277.195      -195834.96      7610.3445     -188224.62      23069.251      3092.1488      0.073534654  
      8500   1313.0222     -196010.68      7823.8255     -188186.85      23160.849     -2164.3743      0.06778746   
      8600   1328.3404     -196026.32      7915.1014     -188111.22      23081.725      2630.8207      0.072004915  
      8700   1336.347      -195903.83      7962.81       -187941.02      23142.847     -971.82149      0.066469948  
      8800   1335.3663     -195752.1       7956.9662     -187795.13      23107.894      1472.0512      0.06878647   
      8900   1325.3484     -195734.33      7897.2728     -187837.06      23136.893     -775.34663      0.07089367   
      9000   1358.1055     -195341.73      8092.4608     -187249.27      23134.415     -153.94275      0.073384104  
      9100   1390.8242     -195278.26      8287.4196     -186990.84      23101.492      1686.6791      0.076015113  
      9200   1426.5178     -195162.52      8500.1047     -186662.41      23161.252     -1976.8667      0.078971275  
      9300   1363.6735     -195422         8125.6383     -187296.36      23098.41       1974.4927      0.080858994  
      9400   1412.0099     -195334.83      8413.6578     -186921.17      23203.849     -3482.2911      0.070490069  
      9500   1399.572      -195059.34      8339.5445     -186719.79      23043.328      4693.7859      0.080005511  
      9600   1474.6755     -194762.29      8787.0596     -185975.23      23272.225     -6184.0115      0.073357403  
      9700   1431.8888     -195155.6       8532.109      -186623.5       23025.059      7258.0161      0.085243779  
      9800   1435.8903     -194950.95      8555.9524     -186395         23256.683     -5910.8492      0.073050002  
      9900   1469.9979     -194821.22      8759.1875     -186062.03      23055.282      5596.5489      0.081012719  
     10000   1447.1178     -194611.04      8622.8528     -185988.18      23217.071     -4182.2865      0.081372681  
Loop time of 834.938 on 32 procs for 10000 steps with 2000 atoms

Performance: 1.035 ns/day, 23.193 hours/ns, 11.977 timesteps/s, 23.954 katom-step/s
99.8% CPU use with 32 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 775.9      | 789.37     | 803.78     |  25.5 | 94.54
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 29.963     | 44.379     | 57.865     | 107.7 |  5.32
Output  | 0.025338   | 0.025465   | 0.027168   |   0.2 |  0.00
Modify  | 0.58026    | 0.61696    | 0.65748    |   2.8 |  0.07
Other   |            | 0.5433     |            |       |  0.07

Nlocal:           62.5 ave          65 max          60 min
Histogram: 16 0 0 0 0 0 0 0 0 16
Nghost:         4113.5 ave        4116 max        4111 min
Histogram: 16 0 0 0 0 0 0 0 0 16
Neighs:          53847 ave       55924 max       51770 min
Histogram: 16 0 0 0 0 0 0 0 0 16

Total # of neighbors = 1723104
Ave neighs/atom = 861.552
Neighbor list builds = 0
Dangerous builds = 0


label loop_heating
variable i loop 151 260
variable Temp equal $i*10
variable Temp equal 151*10
fix 		1 all langevin ${Temp} ${Temp} 100 29345 zero yes
fix 		1 all langevin 1510 ${Temp} 100 29345 zero yes
fix 		1 all langevin 1510 1510 100 29345 zero yes
run 2000
Per MPI rank memory allocation (min/avg/max) = 81.8 | 81.89 | 81.96 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Volume         Press         c_msd[4]   
     10000   1447.1178     -194611.04      8622.8528     -185988.18      23217.071     -4182.2865      0.081372681  
     10100   1477.4835     -194463.01      8803.7909     -185659.22      23111.436      2219.4946      0.087823907  
     10200   1510.7915     -194408.36      9002.2617     -185406.09      23192.177     -1699.0442      0.079758437  
     10300   1509.4984     -194350.36      8994.5562     -185355.81      23150.438      872.77652      0.081546379  
     10400   1478.5818     -194456.25      8810.3358     -185645.91      23143.807      233.61514      0.082625645  
     10500   1476.5696     -194409.04      8798.3457     -185610.69      23150.066      363.89252      0.082382313  
     10600   1497.7037     -194502.94      8924.2762     -185578.66      23145.725      1419.7067      0.082083138  
     10700   1528.8248     -194438.43      9109.7156     -185328.71      23178.312     -951.52463      0.080527109  
     10800   1486.0354     -194538.62      8854.7487     -185683.87      23132.416      1177.4578      0.084144373  
     10900   1524.7319     -194516.65      9085.3272     -185431.32      23171.322     -37.962589      0.082348414  
     11000   1493.699      -194572.93      8900.4135     -185672.51      23143.947      1001.4509      0.07976552   
     11100   1478.8741     -194514.04      8812.0776     -185701.96      23165.516     -425.29624      0.080496908  
     11200   1504.4644     -194325.37      8964.5607     -185360.81      23163.354      283.46618      0.077890111  
     11300   1496.8346     -194829.41      8919.0977     -185910.31      23148.207      887.54802      0.075694097  
     11400   1452.7078     -194835.56      8656.1617     -186179.4       23170.915     -1046.0907      0.076956096  
     11500   1507.4444     -194615.43      8982.3172     -185633.11      23134.741      1745.5366      0.080234985  
     11600   1490.0763     -194388.1       8878.8272     -185509.27      23187.571     -1435.0053      0.080113257  
     11700   1556.9199     -194606.24      9277.124      -185329.12      23140.488      1941.3983      0.081122439  
     11800   1474.8068     -194267.42      8787.842      -185479.57      23195.619     -2345.6367      0.079678004  
     11900   1450.8927     -194644.19      8645.3462     -185998.85      23122.39       800.4259       0.082884767  
     12000   1459.914      -194848.03      8699.1007     -186148.93      23164.447     -1330.3549      0.07551917   
Loop time of 172.24 on 32 procs for 2000 steps with 2000 atoms

Performance: 1.003 ns/day, 23.922 hours/ns, 11.612 timesteps/s, 23.223 katom-step/s
99.8% CPU use with 32 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 160.33     | 164.22     | 166.58     |  12.1 | 95.34
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 5.4238     | 7.789      | 11.682     |  55.8 |  4.52
Output  | 0.0051292  | 0.0051528  | 0.0054454  |   0.1 |  0.00
Modify  | 0.11749    | 0.12388    | 0.13089    |   1.0 |  0.07
Other   |            | 0.1033     |            |       |  0.06

Nlocal:           62.5 ave          71 max          56 min
Histogram: 4 2 4 3 4 6 5 1 1 2
Nghost:         4113.5 ave        4120 max        4105 min
Histogram: 2 0 2 1 10 3 4 2 4 4
Neighs:        54229.2 ave       61490 max       48731 min
Histogram: 4 2 4 3 4 9 2 2 0 2

Total # of neighbors = 1735334
Ave neighs/atom = 867.667
Neighbor list builds = 0
Dangerous builds = 0
next i
jump SELF loop_heating
variable i loop 151 260
variable Temp equal $i*10
variable Temp equal 152*10
fix 		1 all langevin ${Temp} ${Temp} 100 29345 zero yes
fix 		1 all langevin 1520 ${Temp} 100 29345 zero yes
fix 		1 all langevin 1520 1520 100 29345 zero yes
run 2000
Per MPI rank memory allocation (min/avg/max) = 81.47 | 81.59 | 81.94 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Volume         Press         c_msd[4]   
     12000   1459.914      -194848.03      8699.1007     -186148.93      23164.447     -1330.3549      0.07551917   
     12100   1512.1696     -194770.84      9010.4735     -185760.37      23134.623      1546.7181      0.077935629  
     12200   1490.6051     -194601.01      8881.9782     -185719.03      23146.877     -78.033116      0.079344437  
     12300   1487.8223     -194597.17      8865.3965     -185731.78      23179.216     -1052.2473      0.078362595  
     12400   1462.0831     -194448.24      8712.0257     -185736.22      23164.864     -10.305305      0.080443679  
     12500   1498.8564     -194318.83      8931.1445     -185387.69      23194.774     -1621.413       0.078381443  
     12600   1541.084      -194483.16      9182.7635     -185300.4       23130.347      2771.5321      0.078958465  
     12700   1549.8479     -194174.89      9234.9847     -184939.9       23195.515     -844.21928      0.082302646  
     12800   1581.0928     -194433.74      9421.1617     -185012.58      23145.6        1856.5932      0.079901443  
     12900   1539.5122     -194207.11      9173.398      -185033.72      23187.641     -960.56483      0.084202607  
     13000   1510.7344     -194091.46      9001.9216     -185089.53      23156.103      448.501        0.084071749  
     13100   1487.636      -194128.54      8864.2862     -185264.25      23184.459     -1306.4496      0.080058856  
     13200   1505.1061     -194459.09      8968.3844     -185490.7       23142.982      1608.0262      0.08074111   
     13300   1552.7322     -194450.1       9252.1711     -185197.93      23188.222     -1246.3882      0.081411492  
     13400   1506.4015     -194251.15      8976.1034     -185275.04      23155.542      482.59313      0.088280077  
     13500   1611.1643     -194335.18      9600.3468     -184734.83      23163.232      548.96957      0.081519945  
     13600   1532.6292     -194183.36      9132.3847     -185050.98      23162.561      321.10366      0.081140662  
     13700   1518.4812     -194584.72      9048.0815     -185536.63      23147.289      1247.1147      0.080333968  
     13800   1519.5287     -194418.53      9054.3235     -185364.21      23154.714      283.32253      0.082216426  
     13900   1503.5327     -194122.21      8959.0088     -185163.2       23193.933     -1429.3391      0.076619786  
     14000   1509.1747     -194466.58      8992.6279     -185473.95      23134.456      1455.2062      0.07936354   
Loop time of 171.83 on 32 procs for 2000 steps with 2000 atoms

Performance: 1.006 ns/day, 23.865 hours/ns, 11.639 timesteps/s, 23.279 katom-step/s
99.8% CPU use with 32 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 159.05     | 162.44     | 167.83     |  13.2 | 94.54
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 3.7588     | 9.1591     | 12.543     |  55.5 |  5.33
Output  | 0.0051276  | 0.0051504  | 0.005463   |   0.1 |  0.00
Modify  | 0.10524    | 0.12627    | 0.14686    |   4.2 |  0.07
Other   |            | 0.09858    |            |       |  0.06

Nlocal:           62.5 ave          72 max          52 min
Histogram: 2 1 2 1 5 6 7 4 2 2
Nghost:         4113.5 ave        4124 max        4104 min
Histogram: 1 2 2 4 9 5 3 2 1 3
Neighs:        54320.7 ave       62392 max       45375 min
Histogram: 2 2 1 2 6 7 5 4 2 1

Total # of neighbors = 1738263
Ave neighs/atom = 869.1315
Neighbor list builds = 0
Dangerous builds = 0
next i
jump SELF loop_heating
variable i loop 151 260
variable Temp equal $i*10
variable Temp equal 153*10
fix 		1 all langevin ${Temp} ${Temp} 100 29345 zero yes
fix 		1 all langevin 1530 ${Temp} 100 29345 zero yes
fix 		1 all langevin 1530 1530 100 29345 zero yes
run 2000
Per MPI rank memory allocation (min/avg/max) = 81.31 | 81.46 | 81.94 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Volume         Press         c_msd[4]   
     14000   1509.1747     -194466.58      8992.6279     -185473.95      23134.456      1455.2062      0.07936354   
     14100   1537.3482     -194497.95      9160.5035     -185337.45      23171.381     -1252.3257      0.079442428  
     14200   1551.4491     -194522.69      9244.5256     -185278.17      23147.733      1014.7545      0.078818859  
     14300   1532.4217     -194156.3       9131.1479     -185025.15      23150.754      750.57162      0.082666144  
     14400   1497.7514     -194268.81      8924.5603     -185344.25      23196.044     -2999.0247      0.082505494  
     14500   1527.0641     -194471.54      9099.2243     -185372.32      23105.869      3024.9915      0.082586506  
     14600   1540.0296     -194394.71      9176.4811     -185218.23      23226.448     -2769.6429      0.076996822  
     14700   1574.6861     -194418.71      9382.9866     -185035.73      23108.123      3372.0337      0.082914051  
     14800   1531.5441     -194391.72      9125.9191     -185265.8       23199.037     -2385.693       0.078075715  
     14900   1521.4384     -194063.17      9065.7027     -184997.47      23131.086      1310.1005      0.083882169  
     15000   1586.3233     -194411.28      9452.3281     -184958.95      23177.544     -416.12695      0.079480262  
     15100   1545.3873     -194112.03      9208.4056     -184903.62      23149.438      2034.6528      0.084981873  
     15200   1534.863      -194089.27      9145.695      -184943.57      23208.736     -1869.3744      0.080631774  
     15300   1534.5214     -194196.02      9143.6596     -185052.36      23143.123      1690.3029      0.081370662  
     15400   1550.7306     -194283.21      9240.2442     -185042.97      23197.64      -2121.4136      0.084405413  
     15500   1516.033      -194469.94      9033.4938     -185436.44      23128.999      1521.4181      0.084293305  
     15600   1548.6147     -194352.63      9227.6366     -185125         23194.788     -2149.5795      0.081033083  
     15700   1502.3541     -194144.5       8951.986      -185192.51      23151.509      680.56533      0.083422489  
     15800   1469.5061     -194062.4       8756.2568     -185306.14      23193.188     -2012.1425      0.083938383  
     15900   1480.5801     -194347.06      8822.2428     -185524.82      23161.598     -613.04068      0.08158318   
     16000   1507.312      -194510.25      8981.5284     -185528.72      23168.595     -455.85568      0.078804602  
Loop time of 169.864 on 32 procs for 2000 steps with 2000 atoms

Performance: 1.017 ns/day, 23.592 hours/ns, 11.774 timesteps/s, 23.548 katom-step/s
99.8% CPU use with 32 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 158.43     | 162.59     | 166.38     |  13.9 | 95.72
Neigh   | 0          | 0          | 0          |   0.0 |  0.00
Comm    | 3.2193     | 7.0414     | 11.173     |  66.8 |  4.15
Output  | 0.0053623  | 0.0054456  | 0.0058015  |   0.1 |  0.00
Modify  | 0.10496    | 0.1236     | 0.14487    |   3.5 |  0.07
Other   |            | 0.1063     |            |       |  0.06

Nlocal:           62.5 ave          71 max          56 min
Histogram: 3 3 4 3 9 2 3 1 2 2
Nghost:         4113.5 ave        4120 max        4105 min
Histogram: 2 1 2 2 3 6 6 4 3 3
Neighs:        54366.5 ave       61473 max       48781 min
Histogram: 3 3 4 4 8 2 3 1 2 2

Total # of neighbors = 1739729
Ave neighs/atom = 869.8645
Neighbor list builds = 0
Dangerous builds = 0
next i
jump SELF loop_heating
variable i loop 151 260
variable Temp equal $i*10
variable Temp equal 154*10
fix 		1 all langevin ${Temp} ${Temp} 100 29345 zero yes
fix 		1 all langevin 1540 ${Temp} 100 29345 zero yes
fix 		1 all langevin 1540 1540 100 29345 zero yes
run 2000
Per MPI rank memory allocation (min/avg/max) = 81.81 | 81.87 | 81.96 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Volume         Press         c_msd[4]   
     16000   1507.312      -194510.25      8981.5284     -185528.72      23168.595     -455.85568      0.078804602  
     16100   1515.2456     -194056.13      9028.802      -185027.33      23172.656     -1010.765       0.085442091  
     16200   1528.7397     -194291.67      9109.2084     -185182.46      23151.356      1155.6035      0.081366665  
     16300   1558.0237     -194478.31      9283.7012     -185194.61      23164.598      392.85826      0.081539507  
     16400   1539.1565     -194525.95      9171.2782     -185354.67      23156.311      1142.7374      0.08311795   
     16500   1562.4773     -194044.07      9310.2386     -184733.83      23189.026     -109.33774      0.081314456  
     16600   1550.9478     -194217.41      9241.5388     -184975.87      23166.234     -29.553849      0.082603367  
     16700   1532.0279     -194368.55      9128.8016     -185239.75      23143.898      1605.9512      0.079111897  
     16800   1508.9959     -194421.99      8991.5623     -185430.42      23172.204     -843.85434      0.078596517  
     16900   1569.3585     -194569.88      9351.2413     -185218.63      23139.753      1072.8987      0.082019157  
     17000   1506.2829     -194336.64      8975.3967     -185361.24      23149.326      392.31233      0.081823724  
     17100   1524.1998     -194449.7       9082.1569     -185367.55      23170.651     -406.04874      0.078263414  
     17200   1563.1942     -194504.83      9314.5103     -185190.31      23150.2        1088.4103      0.082174071  
     17300   1543.2309     -194118.28      9195.5565     -184922.73      23198.462     -1935.2454      0.085647706  
     17400   1547.6664     -194248.73      9221.9859     -185026.74      23138.584      2575.2231      0.092070468  
     17500   1553.6574     -194339.73      9257.6843     -185082.05      23191.756     -1760.2217      0.085431636  
     17600   1555.5725     -194352.33      9269.0954     -185083.23      23117.57       3002.1874      0.082467859  
     17700   1488.4065     -194227.81      8868.8776     -185358.94      23219.143     -3355.4972      0.078610823  
