LAMMPS (3 Nov 2022)
units 		real
atom_style      charge

lattice 	bcc 2.87
Lattice spacing in x,y,z = 2.87 2.87 2.87
region		bulto block -5 5 -5 5 -5 5
create_box      1 bulto
Created orthogonal box = (-14.35 -14.35 -14.35) to (14.35 14.35 14.35)
  2 by 4 by 4 MPI processor grid
create_atoms	1 region bulto
Created 2000 atoms
  using lattice units in orthogonal box = (-14.35 -14.35 -14.35) to (14.35 14.35 14.35)
  create_atoms CPU = 0.001 seconds

mass * 55.845
# Choose potential
pair_style      reax/c NULL checkqeq no
pair_coeff      * * CHOFeAlNiCuSCr_v3.ff Fe
WARNING: Changed valency_val to valency_boc for X (../reaxff_ffield.cpp:296)


#JR: Charge minimization
#fix             qeq all qeq/reax 1 0.0 10.0 1.0e-6 reax/c

neighbor   3.5 bin
neigh_modify    every 2 delay 4 check yes page 100000

velocity        all create 300.0 4928459 rot yes dist gaussian

compute         msd all msd

compute         Stress all stress/atom NULL virial
compute         pe all pe/atom
compute         ke all ke/atom



timestep        1
#fix nve      all nve
fix 		npt all nph iso 0 0 1000
#fix          press  all press/berendsen iso 0 0 1000


thermo          100
thermo_style custom step temp pe ke etotal vol press c_msd[4]
dump  mydump all custom 1000 dump.coordenadas id type q x y z vx vy vz c_pe c_ke c_Stress[1] c_Stress[2] c_Stress[3]

fix 		1 all langevin  300 1500 100 29345 zero yes
run 10000

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:

- pair reaxff command: doi:10.1016/j.parco.2011.08.005

@Article{Aktulga12,
 author = {H. M. Aktulga and J. C. Fogarty and S. A. Pandit and A. Y. Grama},
 title = {Parallel Reactive Molecular Dynamics: {N}umerical Methods and Algorithmic Techniques},
 journal = {Parallel Computing},
 year =    2012,
 volume =  38,
 number =  {4--5},
 pages =   {245--259}
}

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 2 steps, delay = 4 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 13.5
  ghost atom cutoff = 13.5
  binsize = 6.75, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair reax/c, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/newtoff/ghost
      stencil: full/ghost/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 71.5 | 71.5 | 71.5 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Volume         Press         c_msd[4]   
         0   300           -203952.83      1787.5918     -202165.23      23639.903     -45541.269      0            
       100   255.47228     -202651.76      1522.2672     -201129.49      22634.674      22965.148      0.052596044  
       200   294.58668     -202389.35      1755.3358     -200634.01      23089.018     -8336.4237      0.023902821  
       300   320.03306     -202255.15      1906.9615     -200348.18      22948.28       1249.3739      0.03353987   
       400   327.09518     -202166.59      1949.0422     -200217.55      22935.818      2089.1455      0.033934817  
       500   355.97975     -202097.23      2121.1549     -199976.08      23015.122     -3094.9438      0.029234985  
       600   354.86185     -202039.92      2114.4937     -199925.42      22925.284      3043.8325      0.03512247   
       700   367.75108     -201988.45      2191.296      -199797.16      23006.897     -2169.7654      0.030993223  
       800   388.01446     -201867.86      2312.0382     -199555.82      22946.46       1788.5709      0.035829457  
       900   388.83161     -201720.81      2316.9073     -199403.9       22989.801     -1136.5825      0.034293739  
      1000   407.70849     -201651.94      2429.3878     -199222.55      22974.927      137.46481      0.034906183  
      1100   429.48294     -201710.95      2559.1339     -199151.82      22973.352      494.41289      0.034332141  
      1200   426.49817     -201535.83      2541.3487     -198994.48      22988.143     -586.68537      0.033752069  
      1300   444.20365     -201538.92      2646.8493     -198892.07      22970.407      784.53072      0.035688235  
      1400   449.35837     -201499.1       2677.5644     -198821.54      22991.811     -633.77326      0.036329271  
      1500   470.07267     -201363.29      2800.9935     -198562.3       22972.087      630.75171      0.038647164  
      1600   475.79715     -201298.59      2835.1036     -198463.48      22995.035     -1044.7175      0.036915987  
      1700   479.40146     -201248.34      2856.5804     -198391.76      22973.078      557.78032      0.037889704  
      1800   491.58876     -201154.22      2929.2001     -198225.02      22991.174     -270.39028      0.036577185  
      1900   523.62192     -201056         3120.0742     -197935.93      22991.615      42.539346      0.038574044  
      2000   529.93613     -200959.36      3157.6983     -197801.66      22985.503      262.39858      0.039728467  
      2100   533.52832     -200923.42      3179.1028     -197744.31      23000.295     -207.04617      0.037619188  
      2200   567.81742     -200846.15      3383.4192     -197462.73      22984.734      837.77885      0.040603955  
      2300   564.70629     -200735.31      3364.8811     -197370.43      23001.954     -326.48247      0.040299111  
      2400   572.15024     -200682.87      3409.2369     -197273.63      22982.452      1048.1486      0.040758103  
      2500   581.09549     -200647.21      3462.5384     -197184.67      23001.798     -272.0498       0.041173734  
      2600   594.44183     -200530.66      3542.0645     -196988.6       22992.482      275.08524      0.041658354  
      2700   618.19521     -200444.03      3683.6023     -196760.42      23007.62      -600.91228      0.041663017  
      2800   637.44109     -200286.46      3798.2815     -196488.17      23004.231      19.095555      0.044296601  
